Name,CNIC,Contact,Key,City,Code
Atif,1011111111111,3047877535,11,Sahiwal,101
Ali,102,3047877535,12,Sahiwal,102
Hamza,103,3047877535,13,Sahiwal,103
Abdul,1412121212124,3047877535,14,Sahiwal,104
Dildar,105,3047877535,15,Sahiwal,101
Jawad,106,3047877535,16,Sahiwal,102
Atif,107,3047877535,17,Sahiwal,101
Ali,108,3047877535,18,Sahiwal,102
Hamza,109,3047877535,19,Sahiwal,103
Abdul,1412121212120,3047877535,20,Sahiwal,104
Dildar,111,3047877535,21,Sahiwal,101
Jawad,112,3047877535,22,Sahiwal,102
Atif,113,3047877535,23,Sahiwal,101
Ali,114,3047877535,24,Sahiwal,102
Hamza,4121212121215,3047877535,25,Sahiwal,103
Abdul,116,3047877535,26,Sahiwal,104
Dildar,117,3047877535,27,Sahiwal,101
Jawad,118,3047877535,28,Sahiwal,102
Atif,1412121212129,3047877535,29,Sahiwal,104
