Name,CNIC,Contact,Key,City,Code
Atif,11,3047877535,11,Sahiwal,101
Ali,102,3047877535,12,Sahiwal,102
Hamza,13,3047877535,13,Sahiwal,103
Abdul,1412121212121,3047877535,14,Sahiwal,104
Dildar,1541212121212,3047877535,15,Sahiwal,101
Jawad,16,3047877535,16,Sahiwal,102
Atif,17,3047877535,17,Sahiwal,101
Ali,1841212121212,3047877535,18,Sahiwal,102
Hamza,19,3047877535,19,Sahiwal,103
Abdul,20,3047877535,20,Sahiwal,104
Dildar,21,3047877535,21,Sahiwal,101
Jawad,2241212121212,3047877535,22,Sahiwal,102
Atif,23,3047877535,23,Sahiwal,101
Ali,24,3047877535,24,Sahiwal,102
Hamza,25,3047877535,25,Sahiwal,103
Abdul,2412121212126,3047877535,26,Sahiwal,104
Dildar,27,3047877535,27,Sahiwal,101
Jawad,28,3047877535,28,Sahiwal,102
Atif,2412121212129,3047877535,29,Sahiwal,104
